Ibu kota Indonesia?|Jakarta
Planet terbesar di tata surya?|Jupiter
Gunung tertinggi di dunia?|Gunung Everest
Samudra terluas di dunia?|Samudra Pasifik
Mata uang Jepang?|Yen
Hewan tercepat di darat?|Cheetah
Benua terkecil di dunia?|Australia
Alat untuk mengukur suhu?|Termometer
Penemu lampu pijar?|Thomas Edison
Negara dengan populasi terbanyak?|China
Gas yang dibutuhkan manusia untuk bernapas?|Oksigen
Warna bendera Jepang?|Merah dan Putih
Planet terdekat dengan Matahari?|Merkurius
Sungai terpanjang di dunia?|Sungai Nil
Ibukota Perancis?|Paris
Jumlah hari dalam setahun?|365
Hewan terbesar di dunia?|Paus Biru
Bahasa internasional?|Bahasa Inggris
Bentuk bumi?|Bulat
Benua tempat Indonesia berada?|Asia
